	AUDCAD	AUDCHF	AUDJPY	AUDNZD	AUDUSD	CADCHF	CADJPY	CHFJPY	EURAUD	EURCAD	EURCHF	EURGBP	EURJPY	EURNZD	EURUSD	GBPAUD	GBPCAD	GBPCHF	GBPJPY	GBPNZD	GBPUSD	NZDCAD	NZDCHF	NZDJPY	NZDUSD	USDCAD	USDCHF	USDJPY
EURUSD	12	-46	-11	-55	57	-50	-18	61	70	70	17	50	74	34	0	11	39	-31	2	-37	52	60	-15	26	73	-41	-86	-73
EURCAD	60	-49	-28	10	35	-89	-75	50	54	0	-16	87	39	69	70	-42	28	-71	-54	-51	-14	65	-52	-26	19	36	-75	-66
GBPUSD	-40	10	25	-83	43	39	54	7	24	-14	60	-48	54	-40	52	72	63	60	79	26	0	21	52	69	80	-86	-18	-22
NZDUSD	5	17	47	-72	81	13	28	17	16	19	62	-5	66	-39	73	21	47	29	48	-38	80	66	53	77	0	-72	-38	-41
CHFJPY	-19	-81	-28	-38	-8	-59	-2	0	80	50	-39	56	69	59	61	13	-10	-59	-6	-16	7	8	-57	5	17	-15	-78	-20
EURGBP	53	-57	-36	28	15	-91	-73	56	47	87	-44	0	22	75	50	-62	-24	-93	-77	-64	-48	41	-68	-43	-5	45	-70	-53
AUDUSD	56	38	54	-18	0	-7	-14	-8	-19	35	48	15	30	-35	57	-31	39	9	6	-64	43	85	45	48	81	-30	-30	-54
EURAUD	-35	-88	-60	-50	-19	-54	-10	80	0	54	-22	47	63	72	70	40	13	-45	-2	12	24	-2	-58	-11	16	-23	-77	-40
NZDCAD	74	22	44	-10	85	-35	-37	8	-2	65	42	41	41	-10	60	-43	49	-13	-11	-73	21	0	26	37	66	5	-36	-48
EURJPY	-17	-29	25	-75	30	-14	33	69	63	39	40	22	0	10	74	34	32	-1	45	-21	54	41	11	64	66	-48	-50	-8
GBPAUD	-85	-18	-14	-74	-31	47	68	13	40	-42	28	-62	34	-15	11	0	37	57	79	76	72	-43	21	36	21	-67	4	20
EURNZD	10	-85	-79	25	-35	-85	-63	59	72	69	-62	75	10	0	34	-15	-11	-82	-62	3	-40	-10	-93	-70	-39	44	-64	-41
NZDJPY	-20	45	79	-72	48	56	73	5	-11	-26	76	-43	64	-70	26	36	31	63	80	-17	69	37	80	0	77	-68	14	27
GBPCAD	18	16	17	-33	39	1	-5	-10	13	28	54	-24	32	-11	39	37	0	40	43	24	63	49	31	31	47	-16	-9	-25
AUDCAD	0	29	25	60	56	-49	-74	-19	-35	60	2	53	-17	10	12	-85	18	-37	-59	-68	-40	74	-4	-20	5	62	-10	-35
AUDJPY	25	79	0	-15	54	54	46	-28	-60	-28	67	-36	25	-79	-11	-14	17	56	49	-36	25	44	82	79	47	-22	45	41
GBPJPY	-59	33	49	-74	6	74	88	-6	-2	-54	66	-77	45	-62	2	79	43	84	0	45	79	-11	69	80	48	-73	31	43
CADJPY	-74	28	46	-64	-14	82	0	-2	-10	-75	45	-73	33	-63	-18	68	-5	73	88	38	54	-37	61	73	28	-72	40	61
NZDCHF	-4	86	82	-36	45	82	61	-57	-58	-52	86	-68	11	-93	-15	21	31	87	69	-5	52	26	0	80	53	-47	58	33
GBPNZD	-68	-12	-36	-13	-64	40	38	-16	12	-51	-4	-64	-21	3	-37	76	24	45	45	0	26	-73	-5	-17	-38	-17	33	34
AUDCHF	29	0	79	17	38	70	28	-81	-88	-49	66	-57	-29	-85	-46	-18	16	71	33	-12	10	22	86	45	17	-2	77	38
GBPCHF	-37	71	56	-39	9	92	73	-59	-45	-71	74	-93	-1	-82	-31	57	40	0	84	45	60	-13	87	63	29	-51	68	46
EURCHF	2	66	67	-47	48	58	45	-39	-22	-16	0	-44	40	-62	17	28	54	74	66	-4	60	42	86	76	62	-43	35	16
AUDNZD	60	17	-15	0	-18	-30	-64	-38	-50	10	-47	28	-75	25	-55	-74	-33	-39	-74	-13	-83	-10	-36	-72	-72	85	28	5
CADCHF	-49	70	54	-30	-7	0	82	-59	-54	-89	58	-91	-14	-85	-50	47	1	92	74	40	39	-35	82	56	13	-49	78	61
USDJPY	-35	38	41	5	-54	61	61	-20	-40	-66	16	-53	-8	-41	-73	20	-25	46	43	34	-22	-48	33	27	-41	11	77	0
USDCAD	62	-2	-22	85	-30	-49	-72	-15	-23	36	-43	45	-48	44	-41	-67	-16	-51	-73	-17	-86	5	-47	-68	-72	0	17	11
USDCHF	-10	77	45	28	-30	78	40	-78	-77	-75	35	-70	-50	-64	-86	4	-9	68	31	33	-18	-36	58	14	-38	17	0	77
