Actif,% Achat,% Vente
EURUSD,30.0,70.0
GBPUSD,39.0,61.0
USDJPY,64.0,36.0
GBPJPY,48.0,52.0
USDCAD,46.0,54.0
EURAUD,11.0,89.0
EURJPY,63.0,37.0
AUDCAD,30.0,70.0
AUDJPY,67.0,33.0
AUDNZD,46.0,54.0
AUDUSD,52.0,48.0
CADJPY,76.0,24.0
EURCAD,27.0,73.0
EURCHF,85.0,15.0
EURGBP,89.0,11.0
EURNZD,37.0,63.0
GBPCAD,12.0,88.0
GBPCHF,72.0,28.0
NZDCAD,21.0,79.0
NZDJPY,64.0,36.0
NZDUSD,57.0,43.0
USDCHF,92.0,8.0
CHFJPY,26.0,74.0
AUDCHF,64.0,36.0
GBPNZD,23.0,77.0
NZDCHF,87.0,13.0
XAUUSD,45.0,55.0
CADCHF,91.0,9.0
GBPAUD,14.0,86.0
